ProductID,SKUCode,ProductName,ShortDescription,Category,SubCategory,Department,Brand,ModelNumber,Color,Size,Weight,UnitOfMeasure,SupplierID,SupplierName,CountryOfOrigin,CostPrice,MRP,StandardSellingPrice,TaxPercent,ReorderLevel,LaunchDate,ProductStatus
P11000,EY37JF0W,Puma Women 1000,Puma Women high quality product,Clothing,Women,FMCG,Puma,M-8306,Blue,NA,1.78,Piece,S490,Supplier_5,Vietnam,4654.65,6195.01,4943.38,5,178,15-11-2024,Active
P11001,NB4KTWQX,HP Sunglasses 1001,HP Sunglasses high quality product,Accessories,Sunglasses,FMCG,HP,M-2444,Green,M,7.37,Piece,S123,Supplier_2,India,4138.06,5599.01,4764.5,18,88,13-10-2025,Active
P11002,NAW4FNR4,HP Tablet 1002,HP Tablet high quality product,Electronics,Tablet,Electronics,HP,M-9366,Green,XL,8.52,Piece,S450,Supplier_32,Vietnam,411.77,485.72,480.91,5,53,12-07-2025,Active
P11003,2ARKXZM6,Nestle Bag 1003,Nestle Bag high quality product,Accessories,Bag,Electronics,Nestle,M-4857,Red,NA,2.01,Piece,S820,Supplier_6,India,2721.21,3494.09,2916.41,18,80,16-07-2025,Active
P11004,8S6A9LCJ,Puma Accessory 1004,Puma Accessory high quality product,Electronics,Accessory,FMCG,Puma,M-2442,Red,S,9.06,Piece,S632,Supplier_36,Germany,2669.52,3502.82,3063.28,5,91,25-09-2025,Active
P11005,LL9GZYHO,Sony Women 1005,Sony Women high quality product,Clothing,Women,Fashion,Sony,M-4715,Green,NA,6.8,Piece,S468,Supplier_10,China,2132.8,2346.89,2255.94,12,165,08-03-2024,Active
P11006,JGTYE1SR,Adidas Men 1006,Adidas Men high quality product,Clothing,Men,Electronics,Adidas,M-7494,Black,NA,0.31,Piece,S192,Supplier_45,USA,4417.4,5361.87,4999.31,5,182,01-03-2025,Active
P11007,ESHKGN8I,Puma Sunglasses 1007,Puma Sunglasses high quality product,Accessories,Sunglasses,Fashion,Puma,M-5049,Green,M,8.04,Piece,S897,Supplier_13,India,3473.94,4129.08,3661.47,5,121,20-01-2026,Active
P11008,G1QJALK1,Puma Women 1008,Puma Women high quality product,Clothing,Women,FMCG,Puma,M-7147,Green,L,8.15,Piece,S533,Supplier_1,India,1173.81,1494.31,1475.48,18,43,30-07-2024,Active
P11009,BS3ID6YC,Dell Mobile 1009,Dell Mobile high quality product,Electronics,Mobile,FMCG,Dell,M-8480,Green,L,1.03,Piece,S508,Supplier_2,India,2245.67,2766.97,2876.28,12,127,29-01-2025,Active
